Facility_ID,State,Facility_Type,Ownership,Year_Established,Number_of_Staff,Number_of_Patients_Annually,Primary_Issue_Treated,Service_Provided,Satisfaction_Rating,Average_Cost_Per_Visit_USD,Contact_Email,Phone_Number,Zip_Code,Accredited,Emergency_Services,Website,Insurance_Accepted,Rating_Category,Has_Parking,Open_24_Hours,Languages_Supported,State_Code,Facility_Code,Admin_Name,Yearly_Budget_USD
1,Pennsylvania,Psychiatric Hospital,Public,1968,347.0,1217,Schizophrenia,Inpatient,1.4,437.84,info@mhc.org,(123) 456-7890,60601,Y,Yes,mhc.net,Medicare,Low,No,N/A,,PE,FC-00001,John Doe,9719879.222159825
2,Florida,Rehabilitation Center,Private,1975,47.0,2928,Depression,Telehealth,3.04,344.33,info@mhc.org,555 123 4567,10001,Yes,no,www.mhc.org,,Medium,No,,Spanish,FL,FC-00002,Dr. Lee,1336718.5287463167
3,Georgia,Private Clinic,Public,2001,136.0,1747,Bipolar Disorder,Emergency,1.1,280.22,info@mhc.org,987-654-3210,90210,,yes,http://healthcare.gov,Private,Low,No,No,Mandarin,GE,FC-00003,Dr. Lee,3913438.355169318
4,Illinois,Rehabilitation Center,Non-Profit,1971,284.0,7092,Bipolar Disorder,Telehealth,2.63,121.52,info@mhc.org,(123) 456-7890,60601,N,,http://healthcare.gov,Medicaid,Medium,True,,Hindi,IL,FC-00004,Prof. Adams,12853521.509021524
5,Pennsylvania,Rehabilitation Center,Non-Profit,1970,173.0,6871,Depression,Counseling,1.88,74.06,,(123) 456-7890,60601,Y,no,www.mhc.org,Medicare,Low,Yes,No,English,PE,FC-00005,Jane Smith,7394901.89266538
6,Michigan,Rehabilitation Center,Non-Profit,2000,452.0,242,Depression,Outpatient,3.13,250.56,,555 123 4567,90210,N,no,www.mhc.org,,Medium,No,No,,MI,FC-00006,John Doe,15902624.897963304
7,New York,Rehabilitation Center,Non-Profit,1987,328.0,2861,Schizophrenia,Telehealth,4.98,72.21,info@mhc.org,,10001,No,Yes,mhc.net,Private,High,False,Yes,,NE,FC-00007,Prof. Adams,12680308.59510308
8,Pennsylvania,Telehealth Provider,Private,1969,86.0,3535,Bipolar Disorder,Emergency,,306.2,support@health.com,(123) 456-7890,10001,Y,,mhc.net,Medicaid,,,N/A,Mandarin,PE,FC-00008,Jane Smith,1007241.0680742868
9,Georgia,Telehealth Provider,Public,1978,183.0,6722,OCD,Telehealth,,222.23,support@health.com,987-654-3210,90210,,No,mhc.net,Medicaid,,Yes,Yes,Hindi,GE,FC-00009,John Doe,7276019.385859174
10,Illinois,Community Health Center,Private,2000,396.0,7169,Bipolar Disorder,Inpatient,3.54,390.74,support@health.com,555 123 4567,60601,Y,Yes,,,High,False,Yes,Hindi,IL,FC-00010,John Doe,11660848.665105795
11,Florida,Psychiatric Hospital,Public,1953,467.0,4612,Anxiety,Counseling,1.17,187.54,support@health.com,555 123 4567,10001,,Yes,http://healthcare.gov,Private,Low,True,,,FL,FC-00011,,10605524.505759023
12,Georgia,Rehabilitation Center,Public,2004,367.0,1948,PTSD,Counseling,1.83,316.84,contact@clinic.net,555 123 4567,90210,No,No,www.mhc.org,Medicare,Low,No,,,GE,FC-00012,John Doe,5721925.859971938
13,Georgia,Community Health Center,Public,2020,330.0,2796,PTSD,Counseling,4.7,291.96,,,90210,,No,http://healthcare.gov,,High,False,No,,GE,FC-00013,Jane Smith,4292756.032646291
14,New York,Psychiatric Hospital,Private,1977,385.0,1817,Anxiety,Counseling,2.46,52.12,,,90210,N,Yes,http://healthcare.gov,Medicaid,Medium,Yes,,,NE,FC-00014,Prof. Adams,4541239.556649536
15,Ohio,Private Clinic,Public,1953,100.0,3172,PTSD,Counseling,1.41,82.58,info@mhc.org,987-654-3210,60601,Yes,no,mhc.net,Medicaid,Low,False,,Spanish,OH,FC-00015,Prof. Adams,1647184.699560963
16,Illinois,Telehealth Provider,Private,1971,247.0,9359,Depression,Counseling,3.81,180.67,contact@clinic.net,987-654-3210,10001,N,yes,mhc.net,Medicaid,High,True,24/7,Spanish,IL,FC-00016,,2767820.6926016877
17,Texas,Psychiatric Hospital,Non-Profit,1994,273.0,2886,PTSD,Outpatient,2.2,447.01,info@mhc.org,555 123 4567,60601,N,yes,http://healthcare.gov,,Medium,,No,Hindi,TE,FC-00017,Jane Smith,10730453.28747233
18,Georgia,Private Clinic,Non-Profit,2016,188.0,3891,PTSD,Emergency,,116.16,info@mhc.org,987-654-3210,33101,Y,Yes,mhc.net,None,,No,No,"English, Spanish",GE,FC-00018,John Doe,3749578.1750434823
19,Ohio,Psychiatric Hospital,Public,2015,499.0,9580,Anxiety,Counseling,4.99,369.9,,(123) 456-7890,10001,No,no,,None,High,Yes,24/7,English,OH,FC-00019,,12350058.921562903
20,Texas,Telehealth Provider,Private,1983,218.0,3971,Schizophrenia,Emergency,4.43,488.01,contact@clinic.net,,60601,Yes,No,www.mhc.org,None,High,No,No,Mandarin,TE,FC-00020,Dr. Lee,9354085.3844745
21,Illinois,Telehealth Provider,Non-Profit,2004,82.0,1906,PTSD,Counseling,2.63,405.76,support@health.com,555 123 4567,10001,,YES,http://healthcare.gov,Private,Medium,No,N/A,"English, Spanish",IL,FC-00021,Jane Smith,1196076.5886006574
